species_guid,record_guid,scientific_name,host_range,potential_eco_desc,description,management_info,remark,reference_id,reference_name,page,author,created_time,editor,update_time,id
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,bcc79883-7ba2-4220-a4f2-5d9552a4f145,Potato virus Y,"A tomato farm was found moderately infested with Physalis peruviana. Mottling, mosaic, and chlorosis symptoms were observed on the leaves of P. peruviana harboring an abundance of aphids, Simultaneously, tomato(Solanum lycopersicum) crops showed similar symptoms, including vein clearing typically associated with potyvirus infections.","The widespread distribution of P. peruviana in South Africa indicates the risk to nearby field crops and the potential impact on crop yields. Therefore, it is suggested that weeds are more stringently managed to reduce the rate of vector transmitted viruses to economically important crops such as pepper, tomato, and tobacco.","In February 2015, a survey was conducted in KwaZulu Natal (KZN), South Africa, to identify the diversity of weed species in major agricultural regions of the province. A tomato farm was found moderately infested with Physalis peruviana L., a solanaceous weed otherwise known as Inca/Cape berry, among several other weed species. Mottling, mosaic, and chlorosis symptoms were observed on the leaves of P. peruviana harboring an abundance of aphids. Interestingly, tomato crops showed similar symptoms, including vein clearing typically associated with potyvirus infections. Owing to the prevalence of Potato virus Y (PVY) in KZN, symptomatic leaf tissue collected from P. peruviana and tomato (Solanum lycopersicum L.) plants was identified. Based on DAS-ELISA and RT-PCR, the results indicate the possibility of a mixed infection with PVYO and PVYC strains may be present in the samples. To our knowledge, this is the first report of PVY on P. peruviana from South Africa.  Symptomatic Physalis peruviana plants harbored an abundance of aphids.",,,164885,First Report of Potato virus Y (PVY) on Physalis peruviana in South Africa,1511,cpqis.wangnaiyang,2018-04-25 09:26:06.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,1dc01686-a50c-4ed2-8774-46c0d7bc2a1c,Potato virus Y,,,"In Ecuador, tamarillo (Solanum betaceum) disorders caused by potyviruses have been reported in the past. In 2013, leaves from tamarillo plants showing severe virus-like symptoms (mosaic, mottling, and leaf deformation) were collected from orchards in Pichincha and Tungurahua. Double-stranded RNA (dsRNA) was extracted from three independent batches and used to generate cDNA libraries to screen for RNA viruses by shotgun cloning. Sequencing revealed the presence of the potyviruses Potato virus Y (PVY), Potato virus V (PVV), and Peru tomato mosaic virus (PTV), and the polerovirus Potato leaf roll virus (PLRV). To determine the occurrence of the viruses, leaf samples tested by RT-PCR. Total RNA extraction and reverse transcription was done. For symptomatic plants, PVY and PLRV were the most common with 64% and 30%, respectively. PVV and PTV were found in 8% and 10%, respectively, with only 4% of the plants coinfected by both viruses. Plants coinfected by PVY and PLRV were the most common with 22%, followed by plants coinfected by PVY and PTV (10%). PVY has long been considered the most common virus in tamarillo in Ecuador. This communication reports for the first time in tamarillo the presence of PVV and PTV, two potyviruses once considered strains of PVY. Further studies are needed to determine the significance of PVV and PTV in single and mixed infections in tamarillo.",,,163615,First Report of Potato virus V and Peru tomato mosaic virus on Tamarillo (Solanum betaceum) Orchards of Ecuador,868,cpqis.wangnaiyang,2017-04-07 14:14:54.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,1ae190a3-58dc-4380-b541-b1932317f91d,Potato virus Y,马铃薯Solanum tuberosum,,"A survey for potato viruses was performed between mid-August and the beginning of September during the 2009 and 2010 growing seasons. Tubers or leaves were sampled from plants showing virus symptoms of rugosity and dwarfing from some farms in the agricultural region of southern Greenland. The test demonstrated that the following viruses were presence: Potato leafroll virus, Potato virus A, Potato virus X, and Potato virus Y. To our knowledge this is the first time that potato viruses have been recorded in Greenland.",,,159752,"First report of Potato leafroll virus, Potato virus A, Potato virus X and Potato virus Y in potato in Greenland","New Disease Reports (2014)30,20",cpqis.wangnaiyang,2015-01-04 14:00:16.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,052c6739-6f53-4ffd-9329-9d9c8cb6590f,Potato virus Y,马铃薯Solanum tuberosum,,"（2011年调查时发现）To our knowledge, this study represents the first confirmed report of PVY in potato in West Java, Indonesia.",,,158516,"First Report of Potato virus Y in Potato in West Java, Indonesia",287,cpqis.wangnaiyang,2014-03-28 11:13:48.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,541cc5d6-affa-49b2-89dc-4c2b0a1f2b95,Potato virus Y,马铃薯,,,,,157027,我国49种线状植物病毒分子鉴定及其基因组研究,33-40,cpqis.wangnaiyang,2014-01-23 15:33:21.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,3e7fdda0-e093-478f-9e28-f87f5bba7fa4,Potato virus Y,接种寄主：能侵染茄科中的三生烟、普通烟、心叶烟、黄花烟、白肋烟、甜辣椒、番茄、马铃薯、洋酸浆、矮牵牛和黎科的苋色黎、昆诺黎、菠菜等13种植物。,,,,,155236,一个马铃薯Y病毒山东分离物的分离与鉴定,203-208,cpqis.wangnaiyang,2013-12-04 11:17:01.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,47b9f67c-bd42-4311-acc9-16c0bd62baa9,Potato virus Y,"PVY occurs naturally in at least 41 species from four families, but potato, pepper, tobacco, tomato and several other solanaceous species are its major hosts. Strains of the virus are also experimentally transmissible by mechanical inoculation to more tha","Although most isolates of PVY cause only mild mottling in pepper, tobacco and tomato, some can cause yield losses of 10-100% in potato (de Bokx and Huttinga, 1981; Salazar, 1996). PVY is still of major importance in potatoes because it spreads so easily and can greatly decrease yield. When in complexes with other potato viruses such as potato A, potato X and/or potato S viruses, it can be particularly damaging, sometimes destroying the entire crop. In tobacco, yield losses of 39-75% can occur (Latorre et al., 1984), although PVYN isolates can cause complete crop loss depending on strain, cultivar and time of infection.",,,,7000,CPC2006,,CPC2006,2008-07-11 10:54:00.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,bcab166f-0d3b-456a-9d9d-a69a2e92af4e,Potato virus Y,,,PVY has not been reported in true seed of potato.	,,,7000,CPC2006,,CPC2006,2008-07-10 18:38:00.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,128d4a94-a4ce-4c1e-afe0-b2b37a97e52c,Potato virus Y,,,Plant parts liable to carry the pest in trade/transport - Bulbs/Tubers/Corms/Rhizomes: borne internally; invisible.^p - Fruits (inc. Pods): borne internally; invisible.^p - Flowers/Inflorescences/Cones/Calyx: borne internally; invisible.^p - Leaves: borne internally; visible to naked eye.^p - Seedlings/Micropropagated Plants: borne internally; visible to naked eye.^p - Roots: borne internally; invisible.^p - Stems (above Ground)/Shoots/Trunks/Branches: borne internally; invisible.Plant parts not known to carry the pest in trade/transport - Bark^p - Growing Medium Accompanying Plants^p - True Seeds (inc. Grain)^p - Wood.	,,,7000,CPC2006,,CPC2006,2008-07-10 18:38:00.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,bf51f091-a142-452c-9931-1784b25b7be0,Potato virus Y,,,,,RISK CRITERIA 		CATEGORY^p^pECONOMIC IMPORTANCE	High^pDISTRIBUTION		Worldwide^pSEEDBORNE INCIDENCE	Not recorded^pSEED TRANSMITTED	Not recorded^pSEED TREATMENT	None^p		,7000,CPC2006,,CPC2006,2008-07-10 17:56:15.960,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,f60ba6ca-9b39-4eac-8d90-cea76baabbf7,Potato virus Y,,,,"Vector Control^p^pThe use of insecticides is largely ineffective in the control of aphid-borne spread of PVY (de Bokx and Huttinga, 1981; Salazar, 1996). The use of reflective surfaces and sticky insect traps, however, can reduce virus spread by the aphid vectors (Loebenstein and Raccah, 1980). The use of mineral oils may also be partially effective.^p^p^Cultural Control^p^pInfection by PVY can be reduced by avoidance of infection by growing crops at higher altitude where vectors are absent or occur in very low populations, not growing crops in the proximity of established related crops and, to prevent late spread, destroying haulms of seed potato crops before maturity.^p^p^Host-Plant Resistance^p^pThe genetics and breeding of potatoes for resistance to PVY has been reviewed by Brown and Corsini (2001). Genes for PVY resistance have been identified in close relatives of potato, pepper, tobacco and tomato, and have been used to develop resistance using classical breeding methods (Provvidenti and Hampton, 1992).  More recently, potato plants genetically modified to express viral sequences have been shown to have a high degree of resistance, although as yet these have not found widespread usage (e.g., Lawson et al., 1990; Kaniewski et al., 1990; Felis and Zimnoch-Guzowska, 2000; Maki-Valkama et al., 2001). Berger and German (2001) have recently reviewed the production and use of genetically modified potatoes. ^p^p^Certification Schemes^p^pPVY is best controlled by the production, propagation and distribution of elite virus-free planting stocks, nucleus stocks of which are maintained under stringent conditions to prevent infection. The production of such stocks (Faccioli, 2001), seed-potato certification (Franc, 2001) and the operation of some common certification schemes (Gutbrod and Mosley, 2001) have been recently well-reviewed.",,7000,CPC2006,,CPC2006,2008-07-10 16:38:00.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,cad62b77-f547-429c-adfd-190776207459,Potato virus Y,,危害重，尤其是和其他病害复合感染危害更严重。,,,,1695,植物种传病毒及其检疫,,,2006-07-19 11:18:00.000,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,089f6c26-7c0a-4a7e-bbdf-3fd1b87d5eb5,Potato virus Y,,,"PVY通过超过50个蚜虫品种以非持久方式传播(Kennedy et al., 1962; Sigvald, 1984; Salazar, 1996; Ragsdale et al., 2001; Robert and Bourdin, 2001)。更重要的媒介可能是那些移植的马铃薯的如马铃薯长管蚜（Macrosiphum euphorbiae）、蚕豆蚜（Aphis fabae）、桃蚜（Myzus persicae）和马铃薯囊管蚜（Rhopalosiphoninus latysiphon），虽然其他的如紫堇瘤蚜（M. (Nectarosiphon) certus）、忽布蚜（Phorodon humuli ）和Rhopalosiphon insertum也是重要的自然媒介(Kennedy et al., 1962)。蚜虫品种在它们传播病毒的效率上也有所不同，虽然不同的品种的相对的重要性的估计有所不同。大多数的研究显示桃蚜（Myzus persicae）是PVY的一个非常有效的媒介，虽然其他的如紫堇瘤蚜（Myzus certus）、鼠李马铃薯蚜（Aphis nasturtii）、苹果缢管蚜（Rhopalosiphum insertum）、忽布蚜（P. humuli ）和 豌豆蚜（Acyrthosiphon pisum）也被报道为有效的传播者。 PVY is transmitted in a non-persistent manner by more than 50 aphid species (Kennedy et al., 1962; Sigvald, 1984; Salazar, 1996; Ragsdale et al., 2001; Robert and Bourdin, 2001). The more important vectors are probably those that colonise potatoes such as Macrosiphum euphorbiae, Aphis fabae, Myzus persicae, and Rhopalosiphoninus latysiphon, although others such as M. (Nectarosiphon) certus, Phorodon humuli and Rhopalosiphon insertum are also important natural vectors (Kennedy et al., 1962). Aphid species are also known to vary in their efficiency of transmission of the virus, although estimates of the relative importance of different species vary. Most studies have shown M. persicae to be a very efficient vector of PVY and although others such as Myzus certus, Aphis nasturtii, Rhopalosiphum insertum, P. humuli and Acyrthosiphon pisum have also been reported to be efficient tranmitters.",,,2927,Potato virus Y,,zhangjianjun,,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,32a34827-4ebf-4ea2-b34d-4b560c236c7e,Potato virus Y,,"当与其他的马铃薯病毒如马铃薯 A、马铃薯X 和/或马铃薯S 病毒复合发生时，它特别具毁灭性，有时会毁灭全部的作物。在烟草上，能发生39-75%的产量损失(Latorre et al., 1984)，虽然PVYN分离种能由于株系、品种和侵染时间的不同而引起全部的产量损失。 When in complexes with other potato viruses such as potato A, potato X and/or potato S viruses, it can be particularly damaging, sometimes destroying the entire crop. In tobacco, yield losses of 39-75% can occur (Latorre et al., 1984), although PVYN isolates can cause complete crop loss depending on strain, cultivar and time of infection. 虽然PVY的多数分离种只在辣椒、烟草和番茄上引起轻微的斑驳，但一些分离种能在马铃薯上引起10－100％的产量损失(de Bokx and Huttinga, 1981; Salazar, 1996)。PVY在马铃薯上仍然是重要的因为它很容易传播并能大幅度降低产量。 Although most isolates of PVY cause only mild mottling in pepper, tobacco and tomato, some can cause yield losses of 10-100% in potato (de Bokx and Huttinga, 1981; Salazar, 1996). PVY is still of major importance in potatoes because it spreads so easily and can greatly decrease yield.",,,,2927,Potato virus Y,,zhangjianjun,,,,
8c6e794a-7969-4768-8a11-f03b0e5ff6ac,0f0853d7-984d-495d-8245-98a7c7df7b07,Potato virus Y,,,,"杀虫剂的使用对PVY蚜虫传的传播的防治上是非常的无效的(de Bokx and Huttinga, 1981; Salazar, 1996)。然而，反射表面和粘性昆虫的陷阱的使用，能减少病毒通过蚜虫媒介的传播(Loebenstein and Raccah, 1980)。矿物油的使用也可部分地有效。 The use of insecticides is largely ineffective in the control of aphid-borne spread of PVY (de Bokx and Huttinga, 1981; Salazar, 1996). The use of reflective surfaces and sticky insect traps, however, can reduce virus spread by the aphid vectors (Loebenstein and Raccah, 1980). The use of mineral oils may also be partially effective. 马铃薯对PVY的抗性的遗传性的和育种已被Brown and Corsini (2001)研究。PVY的抗性基因在马铃薯、辣椒、烟草和马铃薯的亲密亲缘植物中被鉴定出，它们被利用传统的育种方法来用作抗性的培育(Provvidenti and Hampton, 1992)。 The genetics and breeding of potatoes for resistance to PVY has been reviewed by Brown and Corsini (2001). Genes for PVY resistance have been identified in close relatives of potato, pepper, tobacco and tomato, and have been used to develop resistance using classical breeding methods (Provvidenti and Hampton, 1992). PVY的侵染能通过在媒介是不存在的或以非常低的种群在发生的较高海拔的地方种植作物避免侵染、不在已建立的有关系作物的附近种植作物、以及在成熟之前毁坏种子马铃薯作物的茎来预防晚期传播来减少。 Infection by PVY can be reduced by avoidance of infection by growing crops at higher altitude where vectors are absent or occur in very low populations, not growing crops in the proximity of established related crops and, to prevent late spread, destroying haulms of seed potato crops before maturity.",,2927,Potato virus Y,,zhangjianjun,,,,
44ed3c07-fe8a-4944-ad41-04cbbf7ee9a8,8f941687-b0a5-4078-89ef-f60aaf60ac80,Lily virus Y,百合( 新种),,,,,157027,我国49种线状植物病毒分子鉴定及其基因组研究,33-40,cpqis.wangnaiyang,2014-01-24 09:14:45.000,,,
3ac22556-ff40-4716-afd4-9b31c333f46e,34b6f287-ace0-4202-b8f1-7eff8b1deacd,Yam mild mosaic virus,,"The economic impact of YMMV is unknown. The virus is apparently less widely distributed than yam mosaic potyvirus (Hughes et al., 1997) but where the virus occurs, the vines can be severely affected. Due to loss of photosynthetic area caused by leaf distortion, there will be a loss in yield. In addition, tubers derived from affected vines will be less vigorous and will facilitate transmission of the virus to the next growing season, and possibly the geographical movement of the virus through distribution of infected planting material.",,,,7000,CPC2006,,CPC2006,2008-07-11 10:54:00.000,,,
3ac22556-ff40-4716-afd4-9b31c333f46e,8e335e9e-3c9b-47b9-b288-a9e7cacd393e,Yam mild mosaic virus,,,"The virus is not seedborne. However, the pathogen is transmitted vegetatively through tubers derived from infected plants.	",,,7000,CPC2006,,CPC2006,2008-07-10 18:38:00.000,,,
3ac22556-ff40-4716-afd4-9b31c333f46e,2e24b59a-bc63-4c42-a9e4-7077a622b88d,Yam mild mosaic virus,,,,,"As any virus poses a potential phytosanitary risk, Dioscorea alata potyvirus should also be considered a risk for the international movement of yam germplasm. The virus was considered of quarantinable significance and was included in the FAO/IBPGR Technical Guidelines for the Safe Movement of Yam Germplasm (Brunt et al., 1989).",7000,CPC2006,,CPC2006,2008-07-10 17:56:15.960,,,
3ac22556-ff40-4716-afd4-9b31c333f46e,234416a0-0ba5-489e-b0d6-db8709bb7666,Yam mild mosaic virus,,,,"Control of this virus could be achieved through the planting of tubers taken only from healthy vines, or by using virus-tested tissue culture plantlets. Avoiding build-up of the probable aphid vectors from around the crop would also be a useful means of reducing the spread of the virus.",,7000,CPC2006,,CPC2006,2008-07-10 16:38:00.000,,,
f2a248ec-222c-4ce8-8198-8d39d6a953a1,d45b9faa-1b32-4332-bc23-c23054fd8f3e,Wisteria vein mosaic virus,,Approximately 10% of the Wisteria plants in the Pardis campus of Ferdowsi University of Mashhad were infected with WVMV.,"In August 2017, a plant of Wisteria sinensis in the Pardis campus of the Ferdowsi University of Mashhad, in the northeast of Iran was observed to have mosaic and chlorotic mottling on leaves which resembled the symptoms caused by wisteria mosaic disease. Infected plants appeared to be randomly distributed and were often situated adjacent to healthy plants. RNA was extracted from the symptomatic plant, based on molecular diagnostics confirming the pathogen was Wisteria vein mosaic virus (WVMV). To our knowledge this is the first report of WVMV infecting W. sinensis in Iran.  Wisteria vein mosaic virus on Wisteria sinensis seems likely that the disease is spread primarily through vegetative propagation rather than by aphid or mechanical transmission.",,,167023,First report of Wisteria vein mosaic virus on Wisteria sinensis in Iran,NDR_038018,cpqis.wangnaiyang,2019-09-02 09:16:43.000,,,
f2a248ec-222c-4ce8-8198-8d39d6a953a1,46badf06-2123-47b7-b45f-175c01a9370c,Wisteria vein mosaic virus,紫藤属Wisteria spp.，多花紫藤Wisteria floribunda（cv. Enchantment），紫藤Wisteria sinensis（cv. Prolific），紫藤Wisteria brachybotrys（cv. Okayama）,Approximately 5% of the Wisteria plants at RHS Wisley were infected with WVMV. Infected plants appeared to be randomly distributed and were often situated adjacent to healthy plants.,"In August 2013, a plant of Wisteria floribunda in the RHS Garden in Wisley, Surrey was observed to have chlorotic mottling and mosaics on some but not all leaves which resembled the symptoms caused by wisteria mosaic disease. RNA was extracted from the symptomatic plant. During 2014, further samples were collected from symptomatic plants in the RHS Garden Wisley (W. floribunda cv. Enchantment and W. sinensis cv. Prolific), a domestic garden in Woodham, Surrey (W. sinensis) and a commercial nursery in Sittingbourne, Kent (W. brachybotrys cv. Okayama and W. sinensis cv. Prolific). Based on molecular detection showed that the causal agent was Wisteria vein mosaic virus（WVMV）. To our knowledge this is the first report of WVMV infecting W. brachybotrys and the first report of the virus in the UK.  It seems likely that the disease is spread primarily through vegetative propagation rather than by aphid or mechanical transmission.",,,159955,First report of Wisteria vein mosaic virus on Wisteria spp. in the United Kingdom,"New Disease Reports (2015)31,1",cpqis.wangnaiyang,2015-03-13 10:02:09.000,,,
f2a248ec-222c-4ce8-8198-8d39d6a953a1,77c96978-1a2c-44da-81b7-c79edab8641c,Wisteria vein mosaic virus,,危害性一般。,,,,1674,病毒手册,,,2006-07-19 11:18:00.000,,,
f79472d8-3074-4cc4-b43d-cdf6235fd1c8,0e768dc4-a0f1-4b25-a923-3ae31f1c4de4,Metcalfa pruinosa,,,可随寄主苗木、运输工具、未经加工的原木或木制品、包装材料、装备等作远距离传播。也可通过成虫、若虫活动自然传播。,,,18552470,一种潜在入侵害虫——霜梅蛾蜡蝉,,王乃扬,2024-12-02 15:59:14.000,王乃扬,2024-12-02 15:59:14.000,
f79472d8-3074-4cc4-b43d-cdf6235fd1c8,a3e3b4f9-ca5e-4dad-aa72-a588aaf8cc45,Metcalfa pruinosa,"This polyphagous insect feeds on a wide variety of woody and herbaceous plants with over 200 species of hosts recorded from Italy (Girolami et al., 1996) including Citrus, grapevines, apple, peach, hazel (Zangheri and Donadini, 1980), fig, pear, plum (Dus","Of primary concern are grapevines and fruit trees such as fig, lemon, apple, pear, plum and peach (Duso, 1984) where the fruit may be unsalable due to mould and markings. Serious damage was recorded on soyabean in northern Italy; in 1986, increased attacks led to a 30-40% crop loss (Ciampolini et al., 1987).",,,,7000,CPC2006,,CPC2006,2008-07-11 10:54:00.000,,,
f79472d8-3074-4cc4-b43d-cdf6235fd1c8,30689f6c-6e43-456e-8e84-40fad574be14,Metcalfa pruinosa,,,,"Chemical control against dense nymphal populations might be justified on valuable trees, but control of sooty mould by means of fungicides is usually more useful. Chemical control of adults is difficult owing to their mobility and long life (Duso, 1984). For chemical control, timing is of the utmost importance, and at the very first signs of infestation, malathion, acephate, fenitrothion or pyrethroids should be applied at the edges of the fields (Ciampolini et al., 1987). Insecticide applications should be kept to a minimum; one application should be made on the crop and wild plants at the end of July/beginning of August to eliminate immature nymphs and newly-emerged adults, and a second application should be made on wild plants in the first half of August to prevent the adults from reinvading the crop. ^p^pOn fruit crops which already receive calendar treatments of insecticides, a product effective against M. pruinosa could be inserted into the control programme at these times. (Ciampolini et al., 1995). The most effective insecticides were fenitrothion, methidathion and quinalphos. Deltamethrin gave good control while pyridaphenthion gave mediocre control. Dimethoate gave better control on the leaves than on the fruit. Chlorpyrifos-methyl needed to be sprayed directly onto the adults to achieve maximum efficacy. Azinphos-methyl was the most persistent insecticide (about 10 days), followed by acephate, lambda-cyhalothrin, dimethoate, pyridaphenthion, methomyl and deltamethrin (5-8 days), and then microencapsulated parathion-methyl, methidathion, quinalphos, fenitrothion and chlorpyrifos-methyl (0-2 days). Chlorpyrifos-methyl, deltamethrin and quinalphos had a repellent activity, accounting for their low levels of persistence. (Stefanelli et al., 1994). Etofenprox had a sufficient and prolonged efficacy, contrasting with the high and brief activity of malathion. Applications of imidacloprid, a well-known systemic insecticide, in granular form to the foot of the plant or in liquid form to the trunk abolished negative effects on the urban population normally caused by spray treatments. Neem oil was not active against the adults, but it is suggested that it could be active against immature stages (Pasini et al., 1997). ^p^pSoap solutions cause almost all of the young stages of the pest to fall to the ground. In the absence of insecticide treatments, the colonies reform 8-10 days later. The treatment is also highly effective in washing away from the plants wax secretions and honeydew produced by the flatid. The treatment should be made as late as possible but before the appearance of adults (Greatti and Girolami, 1994).",,7000,CPC2006,,CPC2006,2008-07-10 16:38:00.000,,,
dd258eba-e489-4510-ac40-1cdd4be7ac5b,15e30f63-6fb2-40f1-b634-4d420abc317b,Colombian datura virus,"CDV was initially isolated from ornamental Brugmansia spp. from Colombia. Since then, this virus has been detected in different solanaceous species in Europe. In Italy, CDV was detected for the first time in Brugmansia spp. from private gardens and one nursery in the Apulia region. This is the first report of CDV in a natural Mediterranean environment, and the first report of a potyvirus infection in mandrake.",,"In September 2014, flower and leaf mottle symptoms were observed on autumn mandrake(Mandragora autumnalis ) plants, growing in a natural reserve of the northwest Sicilian coast. Based on bioassay and sequence analysis the causal agent was identified as Colombian datura virus (CDV). To our knowledge, this is the first report of CDV in a natural Mediterranean environment, and the first report of a potyvirus infection in mandrake.  Colombian datura virus  is a member of the family Potyviridae transmitted by aphids in a nonpersistent manner, by mechanical inoculation and grafting.",,,165146,"First Report of Colombian datura virus in Mandragora autumnalis in Sicily, Italy",2338,cpqis.wangnaiyang,2018-08-03 10:09:39.000,,,
dd258eba-e489-4510-ac40-1cdd4be7ac5b,08540492-847f-4fbb-b11a-37ccc25b5873,Colombian datura virus,"Since its discovery in Angel’s trumpet plants (Brugmansia spp., family: Solanaceae) imported from Colombia to the United States and rediscovery in Europe, Colombian datura virus (CDV) disseminated all over the world to where infected Brugmansia species and hybrids have been introduced. In addition, CDV became a dangerous pathogen of important crops infecting tomato, tobacco, petunia, pepino, and cape gooseberry as well as Spiranthes cernua, Juanulloa aurantiaca, and Datura metel.",,"In May 2012, roadside grown Chinese lanterns(Physalis alkekengi) were observed in Nyíregyháza (Northeast Hungary) showing chlorotic mottle symptoms on leaves. Leaf sap inoculation to test plants proved the presence of a mechanically transmitted plant virus. Biological and molecular data proved that the virus isolated from Chinese lantern should be a strain of Colombian datura virus (CDV). This is the first record on the appearance of CDV in P. alkekengi. Besides Brugmansia spp., this plant may serve as a reservoir host and can be a primary source of CDV in Hungary.",,,161535,First Report on Natural Infection of Colombian datura virus (CDV) in Chinese Lantern (Physalis alkekengi),898,cpqis.wangnaiyang,2016-07-01 14:19:23.000,,,
dd258eba-e489-4510-ac40-1cdd4be7ac5b,5fa23cbf-c2d9-43f4-a0bc-d06a4681908c,Colombian datura virus,毛曼陀罗Datura inoxia,,"Colombian datura virus (CDV) has a worldwide distribution and broad host range which was first identified in Brugmansia plants (Solanaceae) from Colombia. A survey was conducted from January to May 2014 in Rajasthan India, to investigate the epidemiology of potyvirus. Datura showed characteristic symptoms of leaf reduction and flower distortion. The samples were collected and identified, based on serological detection and molecular detection showed that the causal agent was CDV. This is the first report of the natural infection of CDV causing severe mosaic symptoms on Datura inoxia in India. The distribution and economic impact of this virus is still unknown and further studies on the characterisation as well as determination of host range of CDV in India is required.",,,159895,First Report of Colombian datura virus in India,"New Disease Reports (2014) 30, 29",cpqis.wangnaiyang,2015-02-13 09:51:12.000,,,
dd258eba-e489-4510-ac40-1cdd4be7ac5b,47a10625-82d8-42f3-b097-2fd8a0b8d46f,Colombian datura virus,番茄Solanum lycopersicum,,"In 2009, some commercially grown tomato (Solanum lycopersicum) plants in Chiba Prefecture, Japan, exhibited mosaic symptoms. Ten plants from a total of about 72,000 cultivated plants in the greenhouses showed such symptoms. The test demonstrated that the causal agent was Colombian datura virus（CDV） The first case of CDV on tomato was reported in Netherlands, indicating that CDV was transmitted by aphids from CDV-infected Brugmansia plants cultivated in the same greenhouse. We carefully investigated whether Brugmansia plants naturally grew around the greenhouses, but we could not find them inside or in proximity to the greenhouses. Therefore, sources of CDV inoculum in Japan are still unclear. This is the first report of a mosaic disease caused by CDV on commercially cultivated S. lycopersicum in Japan.  The first case of CDV on tomato was reported in Netherlands, indicating that CDV was transmitted by aphids from CDV-infected Brugmansia plants cultivated in the same greenhouse.",,,158980,First Report of Mosaic Disease Caused by Colombian datura virus on Solanum lycopersicum Plants Commercially Cultivated in Japan,698,cpqis.wangnaiyang,2014-06-03 15:38:32.000,,,
8d82655d-abc3-4734-a683-b62d01ca30eb,9c1640af-b7d3-4ebd-827d-a5300a3dda1b,Clover yellow vein virus,白车轴草Trifolium repens ClYVV has been detected in gladiolus (Gladiolus gandavensis) and soybean (Glycine max) .,,"In July 2013, during a survey to determine the presence of different viruses infecting weed plants in South Korea, three white clover (Trifolium repens) leaf samples showing yellow mosaic symptoms were collected from Taean County, South Chungcheong Do Province, South Korea. Based on molecular detection and the pathogenicity assay showed that the causal agent was Clover yellow vein virus (ClYVV). Up to now, in South Korea, ClYVV has been detected in gladiolus (Gladiolus gandavensis) and soybean (Glycine max). The presence of ClYVV could become an important threat to crop production in South Korea. To our knowledge, this is the first report of a ClYVV infection of the white clover plant in South Korea.  Clover yellow vein virus can be easily transmitted by insect, aphid, or mechanical inoculation and has a host range including tobacco, soybean, etc.",,,159726,First Report of Clover yellow vein virus on White Clover (Trifolium repens) in South Korea,1450,cpqis.wangnaiyang,2014-12-30 09:52:22.000,,,
8d82655d-abc3-4734-a683-b62d01ca30eb,cb676ecb-99da-4f2b-8f0f-8ccb9f5feeb9,Clover yellow vein virus,大豆Glycine max,It was low occurrence of ClYVV in Glycine max.,"In Korea, eight viruses have been reported to infect soybean, including Alfalfa mosaic virus (AMV), Cowpea mosaic virus (CPMV), Cucumber mosaic virus (CMV), Soybean dwarf virus(SbDV), Soybean mosaic virus (SMV), Soybean yellow common mosaic virus (SYCMV), Soybean yellow mottle virus (SYMMV), and Peanut stunt virus (PSV). In 2012, Glycine max were observed in Daegu, South Korea, with mosaic and mottling symptoms on leaves. Samples with virus-like symptoms (n = 151) were collected. Only two samples showing mosaic and mottling symptoms were identified as Clover yellow vein virus (ClYVV) based on RT-PCR. ClYVV was first reported on Gentiana scabra, and the disease has never been reported in soybean fields in Korea. To our knowledge, this is the first biological and molecular report of ClYVV infecting Glycine max in Korea.  ClYVV is transmitted by several species of aphids and by mechanical inoculation.",,,159493,First Report of Clover yellow vein virus on Glycine max in Korea,1283,cpqis.wangnaiyang,2014-11-17 09:28:23.000,,,
